department,division,symptom,,,,
心臟血管外科,外科系醫療部 ,心臟瓣膜疾病、冠狀動脈疾病、心臟移植、小兒小兒先天心臟病、周邊動脈/靜脈疾病、成人心臟手術 ( 瓣膜手術、冠狀動脈繞道術、大動脈手術 )、下肢靜脈曲張手術、人工廔管手術、頸動脈狹窄行動脈內膜栓塞摘除術、主動脈瘤及主動脈剝離的手術治療、心衰竭手術治療及循環輔助器使用、心律不整手術治療、深部靜脈栓塞、尿毒症透析用動靜脈廔管手術、化療及透析用中央靜脈管置放 ,,,,
泌尿科,外科系醫療部 ,各類膀胱功能異常排尿障礙、 各種泌尿道腫瘤腎泌尿感染、 腎泌尿腫瘤、 腎泌尿超音波泌尿腫瘤（腎臟、膀胱、攝護腺、睪丸、腎上腺及後腹腔）之診治、攝護腺肥大、泌尿系統結石、腫瘤、頻尿、夜尿、疝氣、包皮過長、隱睾症、尿道下裂、男性性機能異常、女性尿失禁、膀胱機能異常,,,,
骨科,外科系醫療部 ,"各項創傷骨折及脫臼、各種關節炎、手部及上肢、手腕、手肘、肩膀關節傷害、前十字及後十字韌帶重建、關節鏡檢查、人工關節置換手術、關節鏡檢查及手術、腕隧道症侯群、斷指再接、脊椎外科、腰背酸痛、骨質疏鬆症、肌腱炎、小兒骨科疾病及骨折、退化性脊椎病變及椎間盤突出、坐骨神經病痛、脊椎骨科(包含下腰痛、脊痛、脊椎側彎、坐骨神經痛、腰部撞傷、脊椎骨折、椎間盤突出、頸部疼痛、手指酸痛、骨刺)骨病科(包含關節病變(Total joint)、骨腫瘤、骨質疏鬆症)
創傷骨科(包含肩部、四肢骨折，骨盆骨折相關之創傷、肌腱、肌肉、韌帶斷裂等)
運動醫學科(包含急性關節扭傷、肌肉拉傷，肌腱斷裂或骨折、脫臼、關節鏡檢查及治療、膝關節前、後十字韌帶重建、網球肘、扳機指等肌腱筋膜炎，骨性肌炎、肩關節不穩定、五十肩
手外科及足踝外科(包含手部外傷、手部畸形矯正、手指關節僵硬、板機指、神經壓迫手指麻木、各種急性慢性足踝扭傷、足部外傷骨折、扁平足、甲溝炎、大腳趾外翻)
小兒骨科(包含長短腳，ｏ型腿、青蛙肢、內翻足，外翻足、先天性骨關節缺損、小兒關節韌帶不明原因疼痛)",,,,
神經外科,外科系醫療部 ,肢體無力或麻木、三叉神經痛、頭痛、癲癇、頸酸肩痛、手麻、多汗症、腰酸背痛、坐骨神經痛、腦膜上(下)出血、頭部外傷、腦中風(腦血管障礙)、 腦及脊椎腫瘤、脊椎髓傷害、水腦症、周邊神經病變、腦動脈瘤、巴金森氏症、腦膿瘍、腦下垂體腫瘤及其所引發之各種內分泌障礙、 手汗症  ,,,,
整形外科,外科系醫療部 ,頭頸部部先天畸形、唇(顎)裂、疤痕組織重建、顏面整容、顱顏外科、肢體外傷及功能重建、乳房整形及重建、燒燙傷治療、手外傷重建、顏面骨折重建、慢性傷口重建、頭頸部腫瘤術後重建、高壓氧治療、胎記、眼瞼下垂及各種臉頸畸形、全身皮膚各種良性惡性腫瘤及潰爛、各種皮膚外傷及臉部骨折、手部外傷及手部畸形、乳癌手術、乳房重建、頭頸部及口腔腫瘤、燒燙傷以及疤痕。雙眼皮、去眼袋、隆鼻狐臭、拉皮隆胸、疤痕整修、磨皮、抽脂術、高壓氧治療(困難傷口治療、糖尿病足潰瘍)。 ,,,,
小兒外科,外科系醫療部 ,舌繫帶過短、尿道下列、斜頸、包皮、膽道閉鎖不全、疝氣、無肛症、陰囊水腫 ,,,,
眼科,外科系醫療部 ,視力模糊、白內障、青光眼、眼瞼下垂、眼瞼內翻、倒睫毛、兒童視力保健、斜視、弱視、眼窩疾患、糖尿病視網膜病變、眼神經病變、甲狀腺眼疾、角（結）膜炎、角膜潰瘍、角膜移植、乾眼症、眼球及眼窩腫瘤、眼部美容、葡萄膜炎、視網膜剝離 ,,,,
耳鼻喉科,外科系醫療部 ,各式鼻炎、流鼻血、中耳積水、喉痰、急慢性外耳中耳炎、耳鳴、耳痛、耳朵流膿、聽力障礙聽力障礙、暈眩、耳鳴、急慢性鼻竇炎、鼻息肉、鼻部腫瘤、打鼾、聲帶結節息肉、鼻咽癌、頭頸咽喉部腫瘤、各種耳鼻喉科手術治療、面神經麻痺、口腔腫瘤、吞嚥困難、扁桃腺腺病變、聲音沙啞、喉嚨痛、呼吸道異物、語言障礙、甲狀腺腫瘤,,,,
疼痛科,外科系醫療部 ,上下背痛、腰肌勞傷、三叉神經痛、顏面神經痛、坐骨神經痛、肩膀頭部慢性疼痛、肌膜炎、惡性腫瘤及癌症引起疼痛 ,,,,
一般內科,內科系醫療部 ,凡15歲以上之民眾皆可就醫治療，包含健檢及各種慢性疾病之預防和治療,,,,
消化內科,內科系醫療部 ,慢性肝炎之研究與治療、肝腫瘤之細針抽吸、肝生檢、細胞學診斷、肝腫瘤的顯影劑超音波診 斷、肝腫瘤的酒精醋酸及射頻燒灼治療(RFA)、上消化道內視鏡治療、大腸鏡診治、ERCP治療及其他治療性內視鏡 ,,,,
胸腔內科,內科系醫療部 ,各種呼吸道疾病之診治、支氣管鏡與胸部超音波之技術 ,,,,
心臟血管內科,內科系醫療部 ,各種心臟病之診斷與治療、心導管檢查與血管支架置入治療 ,,,,
腎臟內科,內科系醫療部 ,急慢性腎臟疾病、血液透析、腹膜透析、電解質異常、糖尿病腎臟病變 ,,,,
神經內科,內科系醫療部 ,神經性睡眠障礙、手術中腦神經電生理監測、腦腫瘤神經性疼痛及各種腦波檢查 ,,,,
內分泌及新陳代謝科,內科系醫療部 ,糖尿病、內分泌暨新陳代謝疾病、甲狀腺疾病、肥胖、老人醫學、高血脂、一般內科 ,,,,
過敏免疫風濕科,內科系醫療部 ,廣泛性結締組織疾病關節炎、合併脊椎炎退化性關節疾病關節炎、肌腱關節膜炎和滑囊炎合併感染、代謝性和內分泌疾病合併風濕性疾病 ,,,,
血液腫瘤科,內科系醫療部 ,診治各種血球數目和造血功能異常的血液病和血液惡性病，包括白血病、淋巴瘤和骨髓瘤、診治血液惡性病以外之癌症病患 ,,,,
感染科,內科系醫療部 ,治療各種細菌病毒及其他罕見的致病源、負責各式疫苗接種 ,,,,
皮膚科,內科系醫療部 ,雷射治療、皮膚美容、黴菌感染、 黑斑、乾癬、自體免疫性疾病、一般皮膚病症 ,,,,
安寧療護科,內科系醫療部 ,癌症末期臨終病人及其家屬的特別照顧 ,,,,
復健科,內科系醫療部 ,神經復健、長期照護、復健工程、脊髓損傷復健、步態分析、運動控制 ,,,,
中醫內科,中醫醫療部,一般內科，含：眼科：飛蚊症、乾眼症、青光眼、白內障、視神經和視網膜病變、近視、老花、眼睛疲勞、視力減退等。耳鼻喉科：咳嗽、鼻炎、過敏性鼻炎、慢性咽喉炎、鼻竇炎、咽炎。一般呼吸系疾病：慢性支氣管炎、肺氣腫、支氣管哮喘、支氣管擴張症、上呼吸道感染。心血管疾病：高血壓、缺血性心臟病、心律不整、心瓣膜疾病、肺源性心臟病、心衰竭。肝膽腸胃系統：急慢性腸胃炎、便秘、腹瀉、痔瘡、膽結石、消化性潰瘍、腸胃不適。泌尿系統：腎臟病、腎結石、性功能障礙、前列腺肥大、頻尿、急慢性膀胱炎。風濕免疫科：痛風、退化性關節炎、免疫過敏性疾病。神經內科：顏面神經麻痺、中風偏癱後遺症、腦部疾患。內分泌疾病 ：肥胖症、高脂血症、糖尿病調理。皮膚科：異位性皮膚炎，濕疹，癬，青春痘、皮膚過敏。頭痛、偏頭痛、眩暈、耳鳴、記憶力減退、失眠、體質調理、腫瘤、疼痛、睡眠障礙、身心症、術後體質調理、慢性疲勞症候群、骨關節疾患、老人醫學、各類慢性疾病、腰酸背痛 、坐骨神經痛、手術、放療、化療後體質調理,,,,
中醫兒科,中醫醫療部,一般兒科，含： 小兒體質調理、過敏、氣喘、鼻炎、食慾不振、成長痛、小兒轉骨、小兒咳嗽、皮膚科、心血管疾病、胃腸疾病、泌尿系統，體質調理。 ,,,,
中醫婦科,中醫醫療部,一般婦科，含：經帶胎產問題，產前產後諮詢、男女不孕症、月經不調、產前產後調理、更年期症候群、更年期障礙、痛經、子宮肌瘤、子宮內膜異位、痛經、多囊性卵巢胎位不正、慢性骨盆腔炎、青春期發育不良、經前症狀群 ,,,,
一般精神科,精神醫療部,憂鬱症、焦慮症、恐慌症、強迫症、社交畏懼症、失眠、適應障礙、一般精神疾病、精神官能症、自律神經系統失調、個別心理治療、團體心理治療及家族治療,,,,
兒童青少年精神科,精神醫療部,兒童青少年精神醫學、親子諮詢、兒童青少年心理治療、學業適應障礙,,,,
早療評估發展中心,精神醫療部,兒童發展障礙、發展遲緩、兒童青少年精神醫療 、早期療育、早產兒之發展長期追蹤、特定語言障礙、早期療育,,,,
心身醫學科,精神醫療部,老人精神醫學、失智症、癲癇、帕金森氏症、飲食疾患：厭食症、暴食症、與心理因素相關之肥胖症、焦慮症、失眠症,,,,
心身醫學科（心身內科),精神醫療部,一般內科、糖尿病、甲狀腺疾病、腹部甲狀腺超音波及胃十二指腸鏡檢查、高血壓、糖尿病、慢性支氣管炎、過敏症、消化性潰瘍、肝膽病、免疫風濕症、關節炎,,,,
成癮防治科,精神醫療部,酒癮戒治治療、安眠藥戒治、安非他命戒治、海洛因等成癮藥物戒治、一般精神疾病治療,,,,
社區精神科-精神醫療網,精神醫療部,社區精神醫學、一般精神疾病預防與治療,,,,
精神職能治療組,精神醫療部,由醫師轉介病人予職能治療師,,,,
臨床心理組,精神醫療部,由醫師轉介病人給臨床心理師,,,,
