機構名稱,行政區,地址
立達診所,63000050,臺北市中正區忠孝東路1段54號1樓、54之1號(1樓)、54之2號(1樓)、54號2樓、54號3樓
力安妥診所,63000050,臺北市中正區衡陽路30號(2樓)
站前美力時尚診所,63000050,臺北市中正區館前路20號4樓、11樓
君綺美麗診所,63000050,臺北市中正區忠孝西路1段6號13樓
古亭復健診所,63000050,臺北市中正區羅斯福路3段160號1樓、162號(1、2樓)
幫痘氏公館皮膚科診所,63000050,臺北市中正區羅斯福路3段308號1、2、3樓
安妞美學診所,63000050,臺北市中正區羅斯福路1段133號2樓
千美診所,63000050,臺北市中正區新生南路1段60號3樓
薇璽美學診所,63000050,臺北市中正區忠孝東路1段13號7樓
禾瑞印象診所,63000050,臺北市中正區信義路2段213號5樓
韓娜斯時尚美醫診所,63000050,臺北市中正區博愛路83號2樓、85號2樓
海漾大健康管理診所,63000050,臺北市中正區水源路77號7樓之1
晶翎美學診所,63000050,臺北市中正區仁愛路2段70號1、2樓、72號(1樓)
台北澄清眼科診所,63000050,臺北市中正區忠孝西路1段80號3樓
慢活靜心診所,63000050,臺北市中正區博愛路105號3樓
珍顏唯上診所,63000050,臺北市中正區館前路2號6樓
濰視眼科診所,63000050,臺北市中正區館前路43號(2樓)
醫健診所,63000050,臺北市中正區新生南路1段56號8樓
臺北市立聯合醫院附設中正門診部,63000050,臺北市中正區牯嶺街24號
國軍台北門診中心附設民眾診療服務處,63000050,臺北市中正區紹興南街7號
外交部醫務室,63000050,臺北市中正區凱達格蘭大道2號
衛生福利部疾病管制署健康中心,63000050,臺北市中正區林森南路6號1樓
中央銀行秘書處醫務室,63000050,臺北市中正區羅斯福路一段2號(實際營業地址:第二大樓2樓)
敦智內科診所,63000050,臺北市中正區懷寧街１９號
吉星診所,63000050,臺北市中正區青島東路４－５號１樓
劉瑞聰診所,63000050,臺北市中正區汀州路一段１９４號
孫睿亮診所,63000050,臺北市中正區金山南路一段１２１號
鄭文宗耳鼻喉科診所,63000050,臺北市中正區信義路二段２６７號
古亭中心耳鼻喉科診所,63000050,臺北市中正區中華路二段１６１號
林診所,63000050,臺北市中正區寧波東街２２號
朱小兒科診所,63000050,臺北市中正區汀州路二段２２０號１樓
雙合耳鼻喉科聯合診所,63000050,臺北市中正區汀州路一段96號
張孟源內科診所,63000050,臺北市中正區中華路二段３２５號
周正成小兒科診所,63000050,臺北市中正區徐州路24號
丞泰耳鼻喉科診所,63000050,臺北市中正區南昌路一段７８號
蕭耳鼻喉科診所,63000050,臺北市中正區汀州路二段二六一號
彭內科診所,63000050,臺北市中正區廈門街35號
車參聖整形外科診所,63000050,臺北市中正區重慶南路1段13號5樓、6樓
池振坤耳鼻喉科診所,63000050,臺北市中正區南昌路一段88號2樓之1
劉家庭醫學科診所,63000050,臺北市中正區杭州南路一段一四五號一、二樓
柯滄銘婦產科診所,63000050,臺北市中正區林森南路10號、10之1號、10號2樓、12號2樓、10號4樓、10號4樓之2
蕙瑛婦產科診所,63000050,臺北市中正區忠孝西路一段五十號二十四樓之二十四
林超群眼科診所,63000050,臺北市中正區重慶南路一段143號2樓
紹毅內兒科診所,63000050,臺北市中正區八德路1段50號1樓、50 號2樓、52號(1樓)、52之1號(2樓)
羅綺皮膚科診所,63000050,臺北市中正區濟南路一段7號4樓
戰痘診所,63000050,臺北市中正區襄陽路17號(1樓)
同泰診所,63000050,臺北市中正區汀州路二段一三六號、一三八號
親子診所,63000050,臺北市中正區和平西路二段５０號
惠恩診所,63000050,臺北市中正區濟南路二段四十八巷三至二號
李相台診所,63000050,臺北市中正區新生南路一段１４８號２樓之１
長虹診所,63000050,臺北市中正區公園路十三號一、二、四樓，地下一樓
蔡明勳診所,63000050,臺北市中正區羅斯福路二段４０號１樓
拉菲爾人本診所,63000050,臺北市中正區館前路49號11樓
怡和診所,63000050,臺北市中正區汀州路二段二一二號
奕康耳鼻喉科診所,63000050,臺北市中正區連雲街72號2樓
李世輝耳鼻喉科診所,63000050,臺北市中正區南昌路一段79號
東京風采整形外科診所,63000050,臺北市中正區仁愛路二段48號7樓
健康101診所,63000050,臺北市中正區牯嶺街97號1樓
站前大學眼科診所,63000050,臺北市中正區館前路8號3樓
美學院整形外科診所,63000050,臺北市中正區羅斯福路三段312號7樓
新生活診所,63000050,臺北市中正區新生南路一段140號2樓
風華整形外科診所,63000050,臺北市中正區忠孝西路1段6號2、3樓
新公園診所,63000050,臺北市中正區襄陽路3號3樓
好健康診所,63000050,臺北市中正區公園路30號11樓
美兆診所,63000050,臺北市中正區忠孝西路1段66號44.45樓
美診所,63000050,臺北市中正區新生南路1段56號4樓
星采皮膚專科診所,63000050,臺北市中正區羅斯福路一段32號2樓
長春藤台北忠孝診所,63000050,臺北市中正區忠孝西路1段50號27樓、27樓之3
?安診所,63000050,臺北市中正區和平西路一段20號5樓
悅心診所,63000050,臺北市中正區羅斯福路2段7之2號、7之3號
美麗新診所,63000050,臺北市中正區重慶南路1段43號2樓之1、2樓之2
時尚診所,63000050,臺北市中正區忠孝西路一段33號10樓
米蘭時尚診所,63000050,臺北市中正區忠孝東路1段43號、45號、45號2樓之1、45號2樓之2、45號2樓之3、45號2樓之5、47號、47之1號、45號10樓之1、45號10樓之2
宏孕診所,63000050,臺北市中正區新生南路1段56號14、15樓
禾馨婦產科診所,63000050,臺北市中正區懷寧街78號、78號2樓
慕顏時尚美學診所,63000050,臺北市中正區衡陽路7號14樓
渾然天成診所,63000050,臺北市中正區忠孝西路1段45號3樓
祈新婦產科診所,63000050,臺北市中正區懷寧街78號9、10樓
平安身心精神科診所,63000050,臺北市中正區羅斯福路三段218號
悠媞時尚診所,63000050,臺北市中正區許昌街30號4樓
佳妍診所,63000050,臺北市中正區羅斯福路2段136號2樓
博士眼科診所,63000050,臺北市中正區羅斯福路二段70號4樓之6、70號4樓之7、70號4樓之8
時尚假期整形醫美診所,63000060,臺北市大同區南京西路278號2樓
喜顏快時尚診所,63000060,臺北市大同區南京西路18巷4弄4之1號1樓
台全診所,63000060,臺北市大同區承德路1段17之1號(1樓)、17之2號(1樓)、17之3號(1樓)、17之4號(1樓)及17號地下1層
臺北市立聯合醫院附設大同門診部,63000060,臺北市大同區昌吉街52號(1樓及2樓)
鈞生診所,63000060,臺北市大同區甘州街２８號
施小兒科診所,63000060,臺北市大同區重慶北路三段２８號
蔡健生內、神經科診所,63000060,臺北市大同區大龍街１８７巷３０號
蔡皮膚科診所,63000060,臺北市大同區重慶北路二段１１５號
黃博裕小兒科診所,63000060,臺北市大同區赤峰街４９巷２１號
桂林內科診所,63000060,臺北市大同區太原路６２號
陳重熙內科小兒科診所,63000060,臺北市大同區保安街３之４號
余自興眼科診所,63000060,臺北市大同區重慶北路三段二一三號一樓
黃眼科診所,63000060,臺北市大同區重慶北路三段２５６號２樓
大龍峒耳鼻喉科診所,63000060,臺北市大同區民族西路223之5號
包眼科診所,63000060,臺北市大同區保安街５４之１號
朱世輝耳鼻喉科診所,63000060,臺北市大同區民權西路１０６號2樓
周承良耳鼻喉科診所,63000060,臺北市大同區延平北路一段二十二號
張漢權內科診所,63000060,臺北市大同區重慶北路一段９２號
聖心婦家醫診所,63000060,臺北市大同區保安街1之1號(1樓)
中華民國防癆協會第一胸腔病防治所,63000060,臺北市大同區民權西路一○四號二樓
周皮膚科診所,63000060,臺北市大同區延平北路一段二十六號
延平耳鼻喉科診所,63000060,臺北市大同區重慶北路二段二三五之四號一樓
台北聖仁皮膚科診所,63000060,臺北市大同區南京西路71號2樓
黃隆慶婦產科診所,63000060,臺北市大同區歸綏街181號2樓之1
廣安診所,63000060,臺北市大同區大龍街１７７巷３號
羅志弘診所,63000060,臺北市大同區重慶北路三段１１５號
夏立雲診所,63000060,臺北市大同區保安街４３號
趙黎海診所,63000060,臺北市大同區哈密街六十七號
建成診所,63000060,臺北市大同區長安西路82號
廣博診所,63000060,臺北市大同區長安西路二二O巷五號
伊甸診所,63000060,臺北市大同區承德路一段66號8樓
林仲皮膚科診所,63000060,臺北市大同區延平北路2段20號
和泰內科診所,63000060,臺北市大同區南京西路406號8樓
羅源彰診所,63000060,臺北市大同區長安西路137號
梅約內科診所,63000060,臺北市大同區長安西路88號1、2、3樓
慶吉診所,63000060,臺北市大同區重慶北路三段209號
澤康診所,63000060,臺北市大同區重慶北路三段71號
建順診所,63000060,臺北市大同區甘州街51號
梅約診所,63000060,臺北市大同區長安西路88號1、2、3樓
夏凱納生活診所,63000060,臺北市大同區五原路15號、19號2樓
宜康復健科診所,63000060,臺北市大同區民族西路124號、124之1號及126號
南西司鉑診所,63000060,臺北市大同區南京西路30號10樓之1
永欣診所,63000060,臺北市大同區南京西路30號3樓之3
南西維格皮膚科診所,63000060,臺北市大同區南京西路22號3樓之1、3樓之2
祥恩耳鼻喉科診所,63000060,臺北市大同區民生西路195號
祐雙診所,63000060,臺北市大同區民生西路138號2樓
永茂醫美診所,63000060,臺北市大同區南京西路22號8樓
寧夏診所,63000060,臺北市大同區民生西路236號
大同耳鼻喉科診所,63000060,臺北市大同區重慶北路三段250之3、250之4號
紘成診所,63000060,臺北市大同區長安西路53巷7弄1之1號1樓
志勛皮膚科診所,63000060,臺北市大同區重慶北路二段2、4號(實際營業地址:1、2及3樓)
京站好萊塢診所,63000060,臺北市大同區鄭州路3號(1樓、2樓、3樓)
夢工場整形醫美診所,63000060,臺北市大同區承德路一段32號5樓
朵薇診所,63000060,臺北市大同區南京西路288號3樓之9、3樓之10、3樓之11
新旅程復健科診所,63000060,臺北市大同區民權西路237之7號(實際營業樓層:1樓、2樓)及237之9號(實際營業樓層:1樓、2樓)
佑佳內科診所,63000060,臺北市大同區承德路2段142號1樓及2樓
喜聖診所,63000060,臺北市大同區長安西路235號(1樓)、237號(1樓)、239號2樓之1、239號2樓之2
賢福診所,63000060,臺北市大同區民權西路148號2樓
泉源診所,63000060,臺北市大同區庫倫街51之5號(1樓)
牧人所身心醫學診所,63000060,臺北市大同區承德路3段232號1樓
圓山診所,63000060,臺北市大同區酒泉街131號(1樓)
秀冠植髮診所,63000060,臺北市大同區延平北路1段110號2樓
千暘診所,63000060,臺北市大同區民權西路268號2樓、2樓之1、2樓之3
聖方診所,63000060,臺北市大同區長安西路177巷2號(1樓、2樓、3樓)
美平方健康美學診所,63000060,臺北市大同區鄭州路119號2樓之1
悅昇診所,63000060,臺北市大同區錦西街50之1號(1樓)
妍植國際醫美診所,63000060,臺北市大同區南京西路44號(1、2、3樓)
玉妍美醫美診所,,臺北市中山區中山北路2段145號(1樓、2樓)
薇光御境美學診所,63000040,臺北市中山區樂群二路265巷40號(1、2樓)、42號(1、2樓)
沐慕身心診所,63000040,臺北市中山區四平街20號5樓
泓采診所,63000040,臺北市中山區建國北路2段137號1樓
晨昕診所,63000040,臺北市中山區復興北路350號3樓
大直光澤診所,63000040,臺北市中山區敬業二路88號(1樓)
肌優谷大直萬豪診所,63000040,臺北市中山區樂群二路265巷16號(1、2樓)
禾康診所,63000040,臺北市中山區林森北路486號1樓
中山適康復健科診所,63000040,臺北市中山區龍江路268號(1樓)、270號2樓之1
大直佳醫美人診所,63000040,臺北市中山區樂群三路287號1樓
生技明生診所,63000040,臺北市中山區中山北路1段72號2樓、2樓之1及2樓之2
台兒中山集英診所,63000040,臺北市中山區中山北路2段162號4樓及162號4樓之1
美迪大直婦產科診所,63000040,臺北市中山區北安路780號2樓
悅姿醫美診所,63000040,臺北市中山區林森北路526號(1、2樓)
極緻醫美診所,63000040,臺北市中山區南京東路2段96號5樓
振芝沃本診所,63000040,臺北市中山區復興北路290號2樓之1
德式診所,63000040,臺北市中山區德惠街9號4樓之9、4樓之10
晶緻美學診所,63000040,臺北市中山區南京西路1之1號4樓
美麗線時尚診所,63000040,臺北市中山區南京東路2段76號2樓
中美診所,63000040,臺北市中山區南京東路3段210號6樓
上質健康管理診所,63000040,臺北市中山區北安路780號6樓
瑞新時尚診所,63000040,臺北市中山區植福路308號9樓
初日診所,63000040,臺北市中山區民生東路2段163號3樓
萊佳形象美學診所,63000040,臺北市中山區復興北路48號2樓
中山元晨診所,63000040,臺北市中山區中山北路1段145號(7樓)
美麗境界南京復興診所,63000040,臺北市中山區南京東路三段201號4樓之1
品漾診所,63000040,臺北市中山區松江路274號6樓
千代田八千代診所,63000040,臺北市中山區南京西路1號6樓之7之8及7樓之11之12
永育樂群診所,63000040,臺北市中山區樂群二路210之2號(1樓)
心湛美學診所,63000040,臺北市中山區南京東路2段60號12樓
柏克萊眼科診所,63000040,臺北市中山區明水路573號1樓
康倪美學診所,63000040,臺北市中山區龍江路106巷1號(1樓)及龍江路108號(1樓)、108號2樓、108號2樓之1
東方八千代診所,63000040,臺北市中山區南京西路1之1號8樓
芙美醫學診所,63000040,臺北市中山區中山北路3段45號2樓
中山淨妍醫美診所,63000040,臺北市中山區南京東路2段20號3樓
晶華美醫診所,63000040,臺北市中山區中山北路2段39巷2之2號2、3、4樓
健柏診所,63000040,臺北市中山區明水路688號(地下一層)、1樓、2樓
台北維德診所,63000040,臺北市中山區民權東路3段66號(1、2樓)
煥顏診所,63000040,臺北市中山區新生北路2段33巷9號1樓
羅浮婦女診所,63000040,臺北市中山區長安東路2段88號12樓、90號12樓
中山全美診所,63000040,臺北市中山區長春路152號(1樓、2樓)
得心身醫學台北總診所,63000040,臺北市中山區復興北路60號3樓之2
皙妍診所,63000040,臺北市中山區新生北路2段53之3號1樓
安和美醫美外科診所,63000040,臺北市中山區錦州街12號2樓之1
聚英尊爵視光眼科診所,63000040,臺北市中山區樂群二路173號1樓及187號2樓之1
豐秀整形外科診所,63000040,臺北市中山區中山北路2段52號2樓
元鼎診所,63000040,臺北市中山區長安東路2段184號2樓之1
維醫診所,63000040,臺北市中山區林森北路574號(1樓、2樓、3樓、4樓)
卓越健康診所,63000040,臺北市中山區復興北路166號4樓
璞蘊整形外科診所,63000040,臺北市中山區南京東路2段76號5樓
睦霖復健科診所,63000040,臺北市中山區松江路274號2樓
花漾國際美學診所,63000040,臺北市中山區民權東路2段21號3樓
恆美學中山診所,63000040,臺北市中山區南京東路1段46號7樓
新田身心診所,63000040,臺北市中山區復興北路344號2樓
偉俐民生診所,63000040,臺北市中山區龍江路245號(1樓)
MyHair生髮植鬍診所,63000040,臺北市中山區松江路276號7樓
長安東診所,63000040,臺北市中山區長安東路2段50之2號1樓
力安醫學診所,63000040,臺北市中山區樂群二路267號4樓
美朵整形外科診所,63000040,臺北市中山區中山北路2段31號5樓
莎斐爾整形外科診所,63000040,臺北市中山區南京東路2段11號7樓
翡翠診所,63000040,臺北市中山區松江路38巷33號1樓
銀河星辰醫美診所,63000040,臺北市中山區南京西路5之1號5樓之1
綠葉親子診所,63000040,臺北市中山區農安街12之1號(1樓)
喜安診所,63000040,臺北市中山區新生北路1段66號3樓
吾霏醫美食驗室診所,63000040,臺北市中山區中山北路2段2號4樓
存奕美學診所,63000040,臺北市中山區中山北路2段52號3樓、3樓之1、3樓之2
欣妍診所,63000040,臺北市中山區松江路46巷12號1樓
新英格蘭診所,63000040,臺北市中山區松江路396號1樓
詩宓診所,63000040,臺北市中山區民生東路2段161號3樓
中崙國際診所,63000040,臺北市中山區八德路2段303號(1樓)、305號(1樓及2樓)、307號(1樓及2樓)
達康診所,63000040,臺北市中山區龍江路298巷21號1樓
佳飛雅緻美學診所,63000040,臺北市中山區中山北路2段39巷18號(1、2樓)
中山顧家泌尿科診所,63000040,臺北市中山區中山北路2段99號2樓
采騰診所,63000040,臺北市中山區復興北路38號6樓、40號6樓
南京粹究美學診所,63000040,臺北市中山區南京東路2段62號10樓
金蘋果美學診所,63000040,臺北市中山區遼寧街107之2號1樓
晶緻玥禾診所,63000040,臺北市中山區南京西路1之1號2樓
君綺整形外科診所,63000040,臺北市中山區南京東路2段111號2樓
大直佳恩診所,63000040,臺北市中山區北安路591號1樓及地下層
秀仁整形外科診所,63000040,臺北市中山區民生東路一段29號9樓之1
黃建榮婦產科診所,63000040,臺北市中山區南京東路二段100號11樓、11樓之1、11樓之2、11樓之3、11樓之4及11樓之5
美麗好診所,63000040,臺北市中山區南京東路一段42號3樓
法緹美學時尚診所,63000040,臺北市中山區林森北路109號(實際營業地址：3樓)
希望美醫診所,63000040,臺北市中山區南京西路8號8樓
彥靚診所,63000040,臺北市中山區松江路75之1號3樓
四季和安婦幼診所,63000040,臺北市中山區林森北路452號地下1樓、458號及458號3樓、460號及460號2樓、錦州街23巷3號3樓
心禾診所,63000040,臺北市中山區復興北路92號11樓之1
創興診所,63000040,臺北市中山區復興北路378號地下二樓
景?復健科診所,63000040,臺北市中山區北安路607號、607之1號、595巷1號地下一層
固?診所,63000040,臺北市中山區北安路613號、595巷1號地下一層
鈺璽診所,63000040,臺北市中山區南京東路二段132號4樓
粹究美學診所,63000040,臺北市中山區 南京東路2段20號2樓
上直診所,63000040,臺北市中山區北安路458巷41弄49號
馨美診所,63000040,臺北市中山區中山北路二段77之1號2樓
育仁診所,63000040,臺北市中山區錦州街286號
高地植髮家診所,63000040,臺北市中山區南京東路三段91號2樓
好日子診所,63000040,臺北市中山區中山北路二段183巷3之3號
詹益偉耳鼻喉科診所,63000040,臺北市中山區北安路611號
振芝心身醫學診所,63000040,臺北市中山區復興北路282號2樓
麗安耳鼻喉科診所,63000040,臺北市中山區龍江路289號
禾宇復健科診所,63000040,臺北市中山區龍江路356巷79號
永暉診所,63000040,臺北市中山區林森北路612號3樓、614號3樓
柏安診所,63000040,臺北市中山區長安東路二段88號10樓及90號10樓
玉山診所,63000040,臺北市中山區錦州街251號(實際營業:二層)
巴黎國際長春診所,63000040,臺北市中山區民權東路3段78號(實際營業地址:一層、二層)
洛桑醫學診所,63000040,臺北市中山區敬業一路128巷28號4樓
送子鳥11診所,63000040,臺北市中山區樂群二路187號1樓、189號1樓、189號2樓、189號2樓之1
南西好萊塢診所,63000040,臺北市中山區南京東路一段24號3樓
由麗美型診所,63000040,臺北市中山區錦州街296號
生基婦產科診所,63000040,臺北市中山區長安東路二段108號2樓、2樓之1、2樓之2、2樓之3、2樓之4
南西光澤診所,63000040,臺北市中山區南京東路一段24號7樓
杰膚美診所,63000040,臺北市中山區復興北路50號2樓
醫髮診所,63000040,臺北市中山區復興南路1段36之9號9樓、36之10號9樓
丹朵醫學診所,63000040,臺北市中山區長春路3巷13、15號
佑昇診所,63000040,臺北市中山區長安東路2段88號8樓、90號8樓
又喜明眼科診所,63000040,臺北市中山區北安路572號(實際營業樓層1樓、2樓)
澤林毛髮診所,63000040,臺北市中山區長安東路二段78號6樓
越診所,63000040,臺北市中山區南京東路2段37號(1樓、2樓)、39號(1樓、2樓)、41巷2號(1樓、2樓)、6號(1樓、2樓)、8號(1樓、2樓)、8之1號(1樓、2樓)
魏嘉宏皮膚科診所,63000040,臺北市中山區民權東路三段72號(實際營業:一層、二層)
美麗晶華診所,63000040,臺北市中山區中山北路二段81之2號(實際營業樓層:一層、二層、三層)
葛萊美診所,63000040,臺北市中山區南京東路二段26號2樓、3樓、4樓
南京愛爾麗診所,63000040,臺北市中山區南京東路二段100號2樓
孕醫診所,63000040,臺北市中山區松江路318號2樓
虎林診所,63000040,臺北市中山區中山北路2段137巷1號5樓之26
李宜霖診所,63000040,臺北市中山區植福路296號、298號、308號3樓之5
民生展欣眼科診所,63000040,臺北市中山區民生東路三段92號
麗星診所,63000040,臺北市中山區建國北路二段135號7樓
進安身心診所,63000040,臺北市中山區北安路593號、593號地下
名瑿醫美診所,63000040,臺北市中山區松江路276號3樓
全人健康診所,63000040,臺北市中山區中山北路三段38號2樓
瑞醫時尚醫美診所,63000040,臺北市中山區復興北路164號3樓
賦真妍皮膚專科診所,63000040,臺北市中山區八德路2段315號(1樓及2樓)、317號(1樓及2樓)、319號(1樓及2樓)
元和雅整形外科診所,63000040,臺北市中山區松江路125號2樓、2樓之1
明錦生髮植髮診所,63000040,臺北市中山區南京東路二路62號7樓
AR進階鼻美學時尚診所,63000040,臺北市中山區南京東路二段20號7樓之1至之5
繼承婦產科診所,63000040,臺北市中山區松江路276號5樓及5樓之1
晨曦生活診所,63000040,臺北市中山區松江路131之3號
中山璀璨診所,63000040,臺北市中山區南京西路1之2號（實際營業地址：五層）
金時診所,63000040,臺北市中山區敬業二路69巷20號1樓
台北佐登微爾醫美診所,63000040,臺北市中山區民權東路1段48號(1樓、2樓、2樓之1)、50號(1樓)
龍江固?診所,63000040,臺北市中山區龍江路360號1樓
欣莘時尚美學診所,63000040,臺北市中山區長安東路2段63號2樓、63號2樓之1
?新診所,63000040,臺北市中山區建國北路三段42號5樓、6樓
肌優谷診所,63000040,臺北市中山區復興南路一段三十四號二樓
鄭紹隆整形外科診所,63000040,臺北市中山區南京東路一段二十四號五樓
民生承安診所,63000040,臺北市中山區民生東路3段90號1樓、2樓
萌髮診所,63000040,臺北市中山區南京東路三段21號8樓
李久恆整形外科診所,63000040,臺北市中山區南京東路一段2號6樓
雅得麗生活診所,63000040,臺北市中山區中山北路二段33號3樓
青山診所,63000040,臺北市中山區林森北路432號2樓之3
春泉診所,63000040,臺北市中山區民生東路一段25號2樓
宇康復健科診所,63000040,臺北市中山區長春路368號2樓
明誠診所,63000040,臺北市中山區錦州街446號
微風整形外科診所,63000040,臺北市中山區復興南路一段52號
至誠整形外科診所,63000040,臺北市中山區伊通街87巷3號
澄心診所,63000040,臺北市中山區中山北路二段82號2樓
高固?診所,63000040,臺北市中山區北安路613號、595巷1號地下一層
宏仁診所,63000040,臺北市中山區長安東路二段17號
莊宇龍診所,63000040,臺北市中山區北安路637號
創健診所,63000040,臺北市中山區復興北路378號地下一層
長春耳鼻喉科診所,63000040,臺北市中山區民生東路二段110號
采醫漾麗診所,63000040,臺北市中山區林森北路556號2樓
魅力必緹診所,63000040,臺北市中山區中山北路三段57號2樓
英爵醫美診所,63000040,臺北市中山區敬業三路153號及155號
綺麗嘉美型診所,63000040,臺北市中山區松江路338號(實際營業樓層:2、3樓)
旭恩復健科診所,63000040,臺北市中山區復興北路38號2樓
楊菘宇整形外科診所,63000040,臺北市中山區中山北路二段2號5樓
愛鄰診所,63000040,臺北市中山區北安路520之1號
佳禾骨科診所,63000040,臺北市中山區民生西路54號3樓
思雲診所,63000040,臺北市中山區中山北路二段137巷10號、地下室
怡仁診所,63000040,臺北市中山區中山北路1段82號5樓
四季花妍整形診所,63000040,臺北市中山區長春路16號5樓
星光整形外科診所,63000040,臺北市中山區南京東路一段138號3樓
黃偉俐診所,63000040,臺北市中山區天津街37號2樓
黃雅芬兒童心智診所,63000040,臺北市中山區南京西路5之1號12樓之1
中山民權王耳鼻喉科診所,63000040,臺北市中山區中山北路二段166號之2
信安診所,63000040,臺北市中山區民生西路24號3樓
興安診所,63000040,臺北市中山區民生東路3段90號2樓、9 0號2樓之3
恆麗美型診所,63000040,臺北市中山區松江路273號3樓
聚英視光眼科診所,63000040,臺北市中山區民權東路3段54、56號及56號4樓之1
農安診所,63000040,臺北市中山區農安街62號
瀚仕診所,63000040,臺北市中山區松江路369號2樓
京硯皮膚科診所,63000040,臺北市中山區長春路210號1樓、212號(1樓)、212之1號(1樓)、212之2號(1樓)
杏慈診所,63000040,臺北市中山區民權東路二段152巷2之1號
微煦心靈診所,63000040,臺北市中山區中山北路二段39巷6號2樓之1
慶生診所,63000040,臺北市中山區林森北路561號2樓之7及之8
曼都整形外科診所,63000040,臺北市中山區南京東路2段76號7樓
施宏男復健科診所,63000040,臺北市中山區松江路158號3樓、3樓之1
長安診所,63000040,臺北市中山區八德路2段259號（1樓、2樓）
康心美婦診所,63000040,臺北市中山區農安街14號2樓、雙城街17之4號2樓
哲民診所,63000040,臺北市中山區龍江路356巷24號
群英楊麗珍黃景昱皮膚科診所,63000040,臺北市中山區南京東路一段36號3樓
美無極美學診所,63000040,臺北市中山區樂群二路103號、105號
達特琳醫美診所,63000040,臺北市中山區南京東路三段195號3樓
耘康復健科診所,63000040,臺北市中山區復興北路402巷8弄2號
元林診所,63000040,臺北市中山區吉林路239號3樓、239號3樓之1
晴光診所,63000040,臺北市中山區林森北路556號
喜悅健康診所,63000040,臺北市中山區龍江路152號地下一層、152號地下一層之2
安康復健科診所,63000040,臺北市中山區松江路54號2樓
