機構名稱,縣市區名,地址,科別
葉小兒科診所,臺北市中山區,臺北市中山區長春路２２７號,"家庭醫學科,兒科,"
慶生診所,臺北市中山區,臺北市中山區林森北路561號2樓之7及之8,"家庭醫學科,精神科,"
晏安診所,臺北市中山區,臺北市中山區長安東路二段１８９號之６,"家庭醫學科,"
德式診所,臺北市中山區,臺北市中山區德惠街9號4樓之9、4樓之10,"家庭醫學科,"
麗星診所,臺北市中山區,臺北市中山區建國北路二段135號7樓,"家庭醫學科,"
好日子診所,臺北市中山區,臺北市中山區中山北路二段183巷3之3號,"家庭醫學科,"
洛桑醫學診所,臺北市中山區,臺北市中山區敬業一路128巷28號4樓,"家庭醫學科,"
玉山診所,臺北市中山區,臺北市中山區錦州街251號(實際營業:二層),"家庭醫學科,"
榮星診所,臺北市中山區,臺北市中山區龍江路272號 (實際營業地址:1樓、地下一層)及274號 (實際營業地址:1樓),"家庭醫學科,"
興安診所,臺北市中山區,臺北市中山區民生東路3段90號2樓、9 0號2樓之3,"家庭醫學科,復健科,"
長安內外科診所,臺北市中山區,臺北市中山區八德路二段259號,"家庭醫學科,內科,外科,"
杏慈診所,臺北市中山區,臺北市中山區民權東路二段152巷2之1號,"家庭醫學科,"
光華家醫科診所,臺北市中山區,臺北市中山區長安東路2段33號1樓,"家庭醫學科,"
陳家庭醫學科診所,臺北市中山區,臺北市中山區吉林路３１５巷１８號,"家庭醫學科,"
泰安醫院,臺北市中山區,臺北市中山區民權東路二段９２巷２之1號(地下一樓至地上六樓),"家庭醫學科,內科,婦產科,泌尿科,"
王三郎婦產科診所,臺北市中山區,臺北市中山區中山北路二段166號之2,"家庭醫學科,婦產科,"
北安聯合診所,臺北市中山區,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,"家庭醫學科,內科,兒科,婦產科,骨科,耳鼻喉科,眼科,皮膚科,"
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區,臺北市中山區中山北路二段９２號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
龍江固?診所,臺北市中山區,臺北市中山區龍江路360號1樓,"家庭醫學科,"
農安診所,臺北市中山區,臺北市中山區農安街62號,"家庭醫學科,"
育睿診所,臺北市內湖區,臺北市內湖區內湖路1段217巷35號1樓,"家庭醫學科,"
麗康診所,臺北市內湖區,臺北市內湖區金湖路362號,"家庭醫學科,"
瑞康診所,臺北市內湖區,臺北市內湖區江南街96巷3號,"家庭醫學科,"
康寧醫療財團法人康寧醫院,臺北市內湖區,臺北市內湖區成功路五段４２０巷２６號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,復健科,麻醉科,放射診斷科,急診醫學科,牙醫一般科,"
內湖長春診所,臺北市內湖區,臺北市內湖區民權東路六段64號,"家庭醫學科,外科,"
陳森豊診所,臺北市內湖區,臺北市內湖區環山路一段２號１樓及２樓,"家庭醫學科,內科,外科,骨科,神經科,"
魏穀年診所,臺北市內湖區,臺北市內湖區內湖路一段４０３號,"家庭醫學科,兒科,眼科,西醫一般科,"
誠康診所,臺北市內湖區,臺北市內湖區內湖路一段585號,"家庭醫學科,"
國泰醫療財團法人內湖國泰診所,臺北市內湖區,臺北市內湖區瑞光路337號(1、2、3、4樓),"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,整形外科,"
康樂診所,臺北市內湖區,臺北市內湖區康樂街80號、82號、84號,"家庭醫學科,"
新明診所,臺北市內湖區,臺北市內湖區新明路386號,"家庭醫學科,"
三軍總醫院附設民眾診療服務處,臺北市內湖區,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
中國醫藥大學附設醫院臺北分院,臺北市內湖區,臺北市內湖區內湖路二段360號、362號,"家庭醫學科,內科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,精神科,復健科,麻醉科,放射診斷科,中醫一般科,"
康育診所,臺北市內湖區,臺北市內湖區成功路三段189號2樓,"家庭醫學科,內科,"
杏林內科小兒科診所,臺北市南港區,臺北市南港區研究院路一段２５號,"家庭醫學科,"
杏安診所,臺北市南港區,臺北市南港區同德路74號、76號,"家庭醫學科,耳鼻喉科,"
黃家庭醫學科診所,臺北市南港區,臺北市南港區研究院路一段１６１號,"家庭醫學科,內科,"
永育醫療福德診所,臺北市南港區,臺北市南港區福德街320號1樓,"家庭醫學科,"
陳勝吉診所,臺北市南港區,臺北市南港區研究院路一段115號1樓,"家庭醫學科,"
劉聖亞診所,臺北市南港區,臺北市南港區興華路８２號１樓,"家庭醫學科,婦產科,"
天仁健康診所,臺北市南港區,臺北市南港區成福路21號,"家庭醫學科,"
義仁兒科診所,臺北市南港區,臺北市南港區玉成街138號1樓,"家庭醫學科,兒科,"
荃威診所,臺北市南港區,臺北市南港區忠孝東路5段976號(實際營業地址:1、2層),"家庭醫學科,"
德福診所,臺北市士林區,臺北市士林區大東路七十七號,"家庭醫學科,內科,"
高醫師家庭醫學科診所,臺北市士林區,臺北市士林區中山北路7段17號2樓,"家庭醫學科,"
存德小兒科診所,臺北市士林區,臺北市士林區文林路460號(實際使用：1樓),"家庭醫學科,兒科,"
芝山診所,臺北市士林區,臺北市士林區忠義街82號1樓,"家庭醫學科,"
天母許內科家醫科診所,臺北市士林區,臺北市士林區天母北路49號,"家庭醫學科,內科,"
吳如壽診所,臺北市士林區,臺北市士林區中山北路六段３２２號(實際使用:1樓),"家庭醫學科,"
一森診所,臺北市士林區,臺北市士林區中山北路5段476號1樓,"家庭醫學科,"
天母康健身心診所,臺北市士林區,臺北市士林區德行西路100號,"家庭醫學科,精神科,"
耀明診所,臺北市士林區,臺北市士林區中正路322號,"家庭醫學科,"
天母好日子診所,臺北市士林區,臺北市士林區磺溪街21巷8號(1、2樓),"家庭醫學科,"
家庭醫師張正弘診所,臺北市士林區,臺北市士林區天玉街３８巷９號,"家庭醫學科,"
德泰耳鼻喉科診所,臺北市士林區,臺北市士林區通河街42之1號,"家庭醫學科,耳鼻喉科,"
邱世昌診所,臺北市士林區,臺北市士林區文林路７１８號,"家庭醫學科,兒科,"
愛林診所,臺北市士林區,臺北市士林區承德路四段222號、222之1號、222之2號,"家庭醫學科,兒科,"
蘇家醫科診所,臺北市士林區,臺北市士林區大北路２０號,"家庭醫學科,"
鄭醫師診所,臺北市士林區,臺北市士林區延平北路五段120號1、2 樓,"家庭醫學科,"
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
振興醫療財團法人振興醫院,臺北市北投區,臺北市北投區振興街４５號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
臺北市立聯合醫院附設北投門診部,臺北市北投區,臺北市北投區新市街30號5樓,"家庭醫學科,眼科,復健科,"
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區,臺北市北投區知行路二二五巷十二號,"家庭醫學科,內科,神經科,精神科,復健科,放射診斷科,牙醫一般科,中醫一般科,"
清田婦產科家醫科診所,臺北市北投區,臺北市北投區中和街二六八號,"家庭醫學科,婦產科,"
永安家庭醫學科診所,臺北市北投區,臺北市北投區中央北路一段172號(實際使用：一、二層),"家庭醫學科,內科,"
泓光診所,臺北市北投區,臺北市北投區立農街二段二八七號,"家庭醫學科,"
張參雄診所,臺北市北投區,臺北市北投區光明路166號(1、2層)、166-1號(1、2、3層)、166-2號(2、3層),"家庭醫學科,"
昱德聯合診所,臺北市北投區,臺北市北投區光明路１０２號,"家庭醫學科,耳鼻喉科,"
長宏診所,臺北市北投區,臺北市北投區中央北路二段一二一號一樓,"家庭醫學科,"
光明診所,臺北市北投區,臺北市北投區石牌路2段99巷55號1、2樓,"家庭醫學科,骨科,"
臺北榮民總醫院,臺北市北投區,臺北市北投區石牌路二段201號、322號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區,臺北市北投區新民路60號、中和街250號1至4樓、永興路二段2號1至2樓,"家庭醫學科,內科,神經科,精神科,西醫一般科,牙醫一般科,"
和碩聯合科技股份有限公司附設醫務室,臺北市北投區,臺北市北投區立功街76號5樓,"家庭醫學科,"
家福診所,臺北市北投區,臺北市北投區實踐街13號,"家庭醫學科,"
臺北市北投健康管理醫院,臺北市北投區,臺北市北投區中和街2號,"家庭醫學科,內科,放射診斷科,整形外科,"
王永良診所,臺北市北投區,臺北市北投區自強街九十四號,"家庭醫學科,"
常哲診所,臺北市北投區,臺北市北投區明德路157之4號(實際使用:1樓),"家庭醫學科,"
祐民聯合診所,臺北市北投區,臺北市北投區中央南路一段207號1、2、3樓、211巷1、3號1、2、3樓、209號2、3樓,"家庭醫學科,內科,外科,復健科,"
鄭素珠診所,臺北市北投區,臺北市北投區自強街一五四號,"家庭醫學科,兒科,"
慶峰診所,臺北市信義區,臺北市信義區松山路２７５－２號１樓,"家庭醫學科,"
悠亞診所,臺北市信義區,臺北市信義區忠孝東路5段727號,"家庭醫學科,兒科,"
?麗恆全人診所,臺北市信義區,臺北市信義區忠孝東路5段431號2樓,"家庭醫學科,"
桂其安家醫科診所,臺北市信義區,臺北市信義區莊敬路462號,"家庭醫學科,"
101時尚診所,臺北市信義區,臺北市信義區忠孝東路5段35號4樓,"家庭醫學科,"
姚醫師診所,臺北市信義區,臺北市信義區忠孝東路五段396號二樓,"家庭醫學科,內科,"
張育驍診所,臺北市信義區,臺北市信義區吳興街467巷2弄4號1樓、6號1樓、6號2樓、10號1樓,"家庭醫學科,"
臺北醫學大學附設醫院,臺北市信義區,臺北市信義區吳興街２５2號、250號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
博馨診所,臺北市信義區,臺北市信義區永吉路236號,"家庭醫學科,"
吉星診所,臺北市中正區,臺北市中正區青島東路４－５號１樓,"家庭醫學科,婦產科,"
力安妥診所,臺北市中正區,臺北市中正區衡陽路30號(2樓),"家庭醫學科,"
鈞安診所,臺北市中正區,臺北市中正區中華路2段431號1樓,"家庭醫學科,"
和眾綜合診所,臺北市中正區,臺北市中正區忠孝西路一段6號,"家庭醫學科,急診醫學科,職業醫學科,"
博士診所,臺北市中正區,臺北市中正區南陽街8號地下1樓,"家庭醫學科,"
禾瑞印象診所,臺北市中正區,臺北市中正區信義路2段213號5樓,"家庭醫學科,"
劉家庭醫學科診所,臺北市中正區,臺北市中正區杭州南路一段一四五號一、二樓,"家庭醫學科,"
國立台灣大學醫學院附設醫院,臺北市中正區,臺北市中正區中山南路７、８號；常德街１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,"
小千醫師診所,臺北市中正區,臺北市中正區忠孝東路二段134巷16號,"家庭醫學科,"
長虹診所,臺北市中正區,臺北市中正區公園路十三號一、二、四樓，地下一樓,"家庭醫學科,外科,"
拉菲爾人本診所,臺北市中正區,臺北市中正區館前路49號11樓,"家庭醫學科,"
林診所,臺北市中正區,臺北市中正區寧波東街２２號,"家庭醫學科,"
同泰診所,臺北市中正區,臺北市中正區汀州路二段一三六號、一三八號,"家庭醫學科,婦產科,"
國軍台北門診中心附設民眾診療服務處,臺北市中正區,臺北市中正區紹興南街7號,"家庭醫學科,內科,外科,復健科,牙醫一般科,"
健康101診所,臺北市中正區,臺北市中正區牯嶺街97號1樓,"家庭醫學科,"
健安診所,臺北市萬華區,臺北市萬華區萬大路432號,"家庭醫學科,"
瑞生診所,臺北市萬華區,臺北市萬華區西園路二段250號、250號2樓、250號3樓、252號、252號2樓、252號3樓,"家庭醫學科,復健科,"
有幸福美學診所,臺北市萬華區,臺北市萬華區廣州街154號2樓,"家庭醫學科,"
益生婦產科診所,臺北市萬華區,臺北市萬華區萬大路４０６－１號,"家庭醫學科,婦產科,"
漢宗小兒科診所,臺北市萬華區,臺北市萬華區中華路2段434號,"家庭醫學科,兒科,"
慧洋診所,臺北市萬華區,臺北市萬華區莒光路１２５號,"家庭醫學科,"
天行健診所,臺北市萬華區,臺北市萬華區寶興街121、125、127號,"家庭醫學科,"
童錫鈺診所,臺北市萬華區,臺北市萬華區萬大路４８６巷５９弄１７號,"家庭醫學科,內科,"
幸福診所,臺北市萬華區,臺北市萬華區康定路199號,"家庭醫學科,"
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區,臺北市萬華區廣州街２００，２４３號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,耳鼻喉科,眼科,皮膚科,復健科,放射診斷科,牙醫一般科,中醫一般科,"
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區,臺北市萬華區康定路３７號、臺北市萬華區內江街87號、臺北市萬華區內江街87號、臺北市萬華區內江街89號 (文教大樓1樓及供應樓1至2樓),"家庭醫學科,內科,兒科,婦產科,神經科,耳鼻喉科,眼科,精神科,復健科,麻醉科,牙醫一般科,"
萬華劉小兒科診所,臺北市萬華區,臺北市萬華區康定路158號,"家庭醫學科,兒科,"
裕仁診所,臺北市萬華區,臺北市萬華區萬大路117號2樓、西藏路292號2樓,"家庭醫學科,"
永康診所,臺北市萬華區,臺北市萬華區桂林路47號1樓2樓及地下1樓,"家庭醫學科,外科,兒科,骨科,復健科,"
西園醫療社團法人西園醫院,臺北市萬華區,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,牙醫一般科,"
聖約翰婦產科診所,臺北市萬華區,臺北市萬華區東園街175號,"家庭醫學科,婦產科,"
臺北市立聯合醫院附設萬華門診部,臺北市萬華區,臺北市萬華區東園街152號,"家庭醫學科,"
樂群耳鼻喉科家醫科診所,臺北市文山區,臺北市文山區木新路三段202號,"家庭醫學科,耳鼻喉科,"
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區,臺北市文山區興隆路三段111號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
慈慧內科眼科聯合診所,臺北市文山區,臺北市文山區羅斯福路五段264號,"家庭醫學科,眼科,"
定安診所,臺北市文山區,臺北市文山區景興路165號(實際營業為第一層),"家庭醫學科,"
普仁診所,臺北市文山區,臺北市文山區興隆路四段１７１號,"家庭醫學科,"
王家庭醫學科診所,臺北市文山區,臺北市文山區萬安街9號(實際使用第一層),"家庭醫學科,"
東翰診所,臺北市文山區,臺北市文山區興隆路二段139號,"家庭醫學科,"
泓仁診所,臺北市文山區,臺北市文山區木新路二段２７３號,"家庭醫學科,"
澤文診所,臺北市文山區,臺北市文山區興隆路四段１３３號１樓,"家庭醫學科,"
林正豐診所,臺北市文山區,臺北市文山區保儀路25號,"家庭醫學科,"
景美醫院,臺北市文山區,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓、文山區萬慶街18號1樓。,"家庭醫學科,內科,外科,骨科,復健科,麻醉科,放射診斷科,"
仁耀診所,臺北市文山區,臺北市文山區興隆路一段２７３號,"家庭醫學科,"
官世英診所,臺北市文山區,臺北市文山區景興路四十五號,"家庭醫學科,"
順欣診所,臺北市文山區,臺北市文山區木柵路3段112號(實際營業地址：一層、二層),"家庭醫學科,內科,"
佳鴻診所,臺北市文山區,臺北市文山區羅斯福路6段256號1樓,"家庭醫學科,泌尿科,皮膚科,"
